,Suburb,Year,Housing_Type,Value
437,Berwick,2020,3 bedroom flats,371.5
438,Berwick,2020,3 bedroom houses,380.0
439,Berwick,2020,4 bedroom houses,425.0
440,Berwick,2020,All properties,400.0
441,Berwick,2021,1 bedroom flats,300.0
442,Berwick,2021,2 bedroom flats,342.5
443,Berwick,2021,2 bedroom houses,350.0
444,Berwick,2021,3 bedroom flats,395.0
445,Berwick,2021,3 bedroom houses,390.0
446,Berwick,2021,4 bedroom houses,447.5
447,Berwick,2021,All properties,410.0
448,Berwick,2022,1 bedroom flats,310.0
449,Berwick,2022,2 bedroom flats,360.0
450,Berwick,2022,2 bedroom houses,360.0
451,Berwick,2022,3 bedroom flats,405.0
452,Berwick,2022,3 bedroom houses,420.0
453,Berwick,2022,4 bedroom houses,470.0
454,Berwick,2022,All properties,440.0
455,Blackburn,2018,1 bedroom flats,350.0
456,Blackburn,2018,2 bedroom flats,400.0
457,Blackburn,2018,2 bedroom houses,390.0
458,Blackburn,2018,3 bedroom flats,479.0
459,Blackburn,2018,3 bedroom houses,447.5
460,Blackburn,2018,4 bedroom houses,555.0
461,Blackburn,2018,All properties,430.0
462,Blackburn,2019,1 bedroom flats,360.0
463,Blackburn,2019,2 bedroom flats,415.0
464,Blackburn,2019,2 bedroom houses,411.5
465,Blackburn,2019,3 bedroom flats,487.5
466,Blackburn,2019,3 bedroom houses,450.0
467,Blackburn,2019,4 bedroom houses,575.0
468,Blackburn,2019,All properties,447.5
469,Blackburn,2020,1 bedroom flats,355.0
470,Blackburn,2020,2 bedroom flats,415.0
471,Blackburn,2020,2 bedroom houses,410.0
472,Blackburn,2020,3 bedroom flats,491.5
473,Blackburn,2020,3 bedroom houses,450.0
474,Blackburn,2020,4 bedroom houses,559.0
475,Blackburn,2020,All properties,435.5
476,Blackburn,2021,1 bedroom flats,337.5
477,Blackburn,2021,2 bedroom flats,390.0
478,Blackburn,2021,2 bedroom houses,400.0
479,Blackburn,2021,3 bedroom flats,482.5
480,Blackburn,2021,3 bedroom houses,450.0
481,Blackburn,2021,4 bedroom houses,570.0
482,Blackburn,2021,All properties,422.5
483,Blackburn,2022,1 bedroom flats,340.0
484,Blackburn,2022,2 bedroom flats,400.0
485,Blackburn,2022,2 bedroom houses,400.0
486,Blackburn,2022,3 bedroom flats,500.0
487,Blackburn,2022,3 bedroom houses,460.0
488,Blackburn,2022,4 bedroom houses,600.0
489,Blackburn,2022,All properties,440.0
490,Boronia,2018,1 bedroom flats,295.0
491,Boronia,2018,2 bedroom flats,357.5
492,Boronia,2018,2 bedroom houses,347.5
493,Boronia,2018,3 bedroom flats,405.0
494,Boronia,2018,3 bedroom houses,400.0
495,Boronia,2018,4 bedroom houses,459.0
496,Boronia,2018,All properties,382.5
497,Boronia,2019,1 bedroom flats,295.0
498,Boronia,2019,2 bedroom flats,360.0
499,Boronia,2019,2 bedroom houses,350.0
500,Boronia,2019,3 bedroom flats,405.0
501,Boronia,2019,3 bedroom houses,397.5
502,Boronia,2019,4 bedroom houses,467.5
503,Boronia,2019,All properties,390.0
504,Boronia,2020,1 bedroom flats,316.5
505,Boronia,2020,2 bedroom flats,362.5
506,Boronia,2020,2 bedroom houses,350.0
507,Boronia,2020,3 bedroom flats,420.0
508,Boronia,2020,3 bedroom houses,400.0
509,Boronia,2020,4 bedroom houses,471.5
510,Boronia,2020,All properties,395.0
511,Boronia,2021,1 bedroom flats,330.0
512,Boronia,2021,2 bedroom flats,374.0
513,Boronia,2021,2 bedroom houses,365.0
