,housing_type,budget,school_type,results
160,4 bedroom houses,100,0,"['prahran', 'broadmeadows', 'cranbourne']"
161,4 bedroom houses,100,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
162,4 bedroom houses,100,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
163,4 bedroom houses,100,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
164,4 bedroom houses,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
165,4 bedroom houses,200,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
166,4 bedroom houses,200,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
167,4 bedroom houses,200,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
168,4 bedroom houses,300,0,"['prahran', 'broadmeadows', 'cranbourne']"
169,4 bedroom houses,300,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
170,4 bedroom houses,300,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
171,4 bedroom houses,300,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
172,4 bedroom houses,400,0,"['prahran', 'broadmeadows', 'cranbourne']"
173,4 bedroom houses,400,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
174,4 bedroom houses,400,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
175,4 bedroom houses,400,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
176,4 bedroom houses,500,0,"['prahran', 'broadmeadows', 'cranbourne']"
177,4 bedroom houses,500,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
178,4 bedroom houses,500,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
179,4 bedroom houses,500,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
180,4 bedroom houses,600,0,"['prahran', 'broadmeadows', 'cranbourne']"
181,4 bedroom houses,600,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
182,4 bedroom houses,600,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
183,4 bedroom houses,600,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
184,4 bedroom houses,700,0,"['prahran', 'broadmeadows', 'cranbourne']"
185,4 bedroom houses,700,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
186,4 bedroom houses,700,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
187,4 bedroom houses,700,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
188,4 bedroom houses,800,0,"['prahran', 'broadmeadows', 'cranbourne']"
189,4 bedroom houses,800,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
190,4 bedroom houses,800,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
191,4 bedroom houses,800,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
192,All properties,100,0,"['prahran', 'broadmeadows', 'cranbourne']"
193,All properties,100,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
194,All properties,100,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
195,All properties,100,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
196,All properties,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
197,All properties,200,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
198,All properties,200,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
199,All properties,200,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
200,All properties,300,0,"['prahran', 'broadmeadows', 'cranbourne']"
201,All properties,300,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
202,All properties,300,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
203,All properties,300,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
204,All properties,400,0,"['prahran', 'broadmeadows', 'cranbourne']"
205,All properties,400,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
206,All properties,400,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
207,All properties,400,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
208,All properties,500,0,"['prahran', 'broadmeadows', 'cranbourne']"
209,All properties,500,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
210,All properties,500,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
211,All properties,500,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
212,All properties,600,0,"['prahran', 'broadmeadows', 'cranbourne']"
213,All properties,600,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
