,Suburb,Housing_Type,Value,No_of_child_charity,No_of_adult_charity,No_of_bus_stop,No_of_train_station,School_Type,No_of_school
16077,horsham,2 bedroom flats,280.0,16.0,25.0,122.0,0.0,Secondary,2.0
16078,horsham,2 bedroom houses,288.0,16.0,25.0,122.0,0.0,Pri/Sec,1.0
16079,horsham,2 bedroom houses,288.0,16.0,25.0,122.0,0.0,Primary,3.0
16080,horsham,2 bedroom houses,288.0,16.0,25.0,122.0,0.0,Secondary,2.0
16081,horsham,3 bedroom flats,360.0,16.0,25.0,122.0,0.0,Pri/Sec,1.0
16082,horsham,3 bedroom flats,360.0,16.0,25.0,122.0,0.0,Primary,3.0
16083,horsham,3 bedroom flats,360.0,16.0,25.0,122.0,0.0,Secondary,2.0
16084,horsham,3 bedroom houses,350.0,16.0,25.0,122.0,0.0,Pri/Sec,1.0
16085,horsham,3 bedroom houses,350.0,16.0,25.0,122.0,0.0,Primary,3.0
16086,horsham,3 bedroom houses,350.0,16.0,25.0,122.0,0.0,Secondary,2.0
16087,horsham,4 bedroom houses,430.0,16.0,25.0,122.0,0.0,Pri/Sec,1.0
16088,horsham,4 bedroom houses,430.0,16.0,25.0,122.0,0.0,Primary,3.0
16089,horsham,4 bedroom houses,430.0,16.0,25.0,122.0,0.0,Secondary,2.0
16090,horsham,All properties,330.0,16.0,25.0,122.0,0.0,Pri/Sec,1.0
16091,horsham,All properties,330.0,16.0,25.0,122.0,0.0,Primary,3.0
16092,horsham,All properties,330.0,16.0,25.0,122.0,0.0,Secondary,2.0
16303,ivanhoe,1 bedroom flats,350.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16304,ivanhoe,1 bedroom flats,350.0,5.0,10.0,0.0,2.0,Primary,2.0
16305,ivanhoe east,1 bedroom flats,350.0,2.0,2.0,0.0,0.0,Primary,1.0
16306,ivanhoe,2 bedroom flats,420.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16307,ivanhoe,2 bedroom flats,420.0,5.0,10.0,0.0,2.0,Primary,2.0
16308,ivanhoe east,2 bedroom flats,420.0,2.0,2.0,0.0,0.0,Primary,1.0
16309,ivanhoe,2 bedroom houses,510.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16310,ivanhoe,2 bedroom houses,510.0,5.0,10.0,0.0,2.0,Primary,2.0
16311,ivanhoe east,2 bedroom houses,510.0,2.0,2.0,0.0,0.0,Primary,1.0
16312,ivanhoe,3 bedroom flats,590.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16313,ivanhoe,3 bedroom flats,590.0,5.0,10.0,0.0,2.0,Primary,2.0
16314,ivanhoe east,3 bedroom flats,590.0,2.0,2.0,0.0,0.0,Primary,1.0
16315,ivanhoe,3 bedroom houses,595.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16316,ivanhoe,3 bedroom houses,595.0,5.0,10.0,0.0,2.0,Primary,2.0
16317,ivanhoe east,3 bedroom houses,595.0,2.0,2.0,0.0,0.0,Primary,1.0
16318,ivanhoe,4 bedroom houses,785.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16319,ivanhoe,4 bedroom houses,785.0,5.0,10.0,0.0,2.0,Primary,2.0
16320,ivanhoe east,4 bedroom houses,785.0,2.0,2.0,0.0,0.0,Primary,1.0
16321,ivanhoe,All properties,430.0,5.0,10.0,0.0,2.0,Pri/Sec,2.0
16322,ivanhoe,All properties,430.0,5.0,10.0,0.0,2.0,Primary,2.0
16323,ivanhoe east,All properties,430.0,2.0,2.0,0.0,0.0,Primary,1.0
16464,keilor,1 bedroom flats,0.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16465,keilor,1 bedroom flats,0.0,1.0,2.0,0.0,0.0,Primary,2.0
16466,keilor,2 bedroom flats,0.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16467,keilor,2 bedroom flats,0.0,1.0,2.0,0.0,0.0,Primary,2.0
16468,keilor,2 bedroom houses,0.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16469,keilor,2 bedroom houses,0.0,1.0,2.0,0.0,0.0,Primary,2.0
16470,keilor,3 bedroom flats,0.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16471,keilor,3 bedroom flats,0.0,1.0,2.0,0.0,0.0,Primary,2.0
16472,keilor,3 bedroom houses,450.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16473,keilor,3 bedroom houses,450.0,1.0,2.0,0.0,0.0,Primary,2.0
16474,keilor,4 bedroom houses,555.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16475,keilor,4 bedroom houses,555.0,1.0,2.0,0.0,0.0,Primary,2.0
16476,keilor,All properties,450.0,1.0,2.0,0.0,0.0,Pri/Sec,1.0
16477,keilor,All properties,450.0,1.0,2.0,0.0,0.0,Primary,2.0
16758,keilor east,1 bedroom flats,325.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16759,keilor east,1 bedroom flats,325.0,7.0,6.0,0.0,0.0,Primary,2.0
16760,keilor east,1 bedroom flats,325.0,7.0,6.0,0.0,0.0,Secondary,1.0
16761,avondale heights,1 bedroom flats,325.0,2.0,5.0,0.0,0.0,Primary,2.0
16762,keilor east,2 bedroom flats,390.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16763,keilor east,2 bedroom flats,390.0,7.0,6.0,0.0,0.0,Primary,2.0
16764,keilor east,2 bedroom flats,390.0,7.0,6.0,0.0,0.0,Secondary,1.0
16765,avondale heights,2 bedroom flats,390.0,2.0,5.0,0.0,0.0,Primary,2.0
16766,keilor east,2 bedroom houses,383.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16767,keilor east,2 bedroom houses,383.0,7.0,6.0,0.0,0.0,Primary,2.0
16768,keilor east,2 bedroom houses,383.0,7.0,6.0,0.0,0.0,Secondary,1.0
16769,avondale heights,2 bedroom houses,383.0,2.0,5.0,0.0,0.0,Primary,2.0
16770,keilor east,3 bedroom flats,475.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16771,keilor east,3 bedroom flats,475.0,7.0,6.0,0.0,0.0,Primary,2.0
16772,keilor east,3 bedroom flats,475.0,7.0,6.0,0.0,0.0,Secondary,1.0
16773,avondale heights,3 bedroom flats,475.0,2.0,5.0,0.0,0.0,Primary,2.0
16774,keilor east,3 bedroom houses,430.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16775,keilor east,3 bedroom houses,430.0,7.0,6.0,0.0,0.0,Primary,2.0
16776,keilor east,3 bedroom houses,430.0,7.0,6.0,0.0,0.0,Secondary,1.0
16777,avondale heights,3 bedroom houses,430.0,2.0,5.0,0.0,0.0,Primary,2.0
16778,keilor east,4 bedroom houses,560.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16779,keilor east,4 bedroom houses,560.0,7.0,6.0,0.0,0.0,Primary,2.0
16780,keilor east,4 bedroom houses,560.0,7.0,6.0,0.0,0.0,Secondary,1.0
16781,avondale heights,4 bedroom houses,560.0,2.0,5.0,0.0,0.0,Primary,2.0
16782,keilor east,All properties,400.0,7.0,6.0,0.0,0.0,Pri/Sec,1.0
16783,keilor east,All properties,400.0,7.0,6.0,0.0,0.0,Primary,2.0
16784,keilor east,All properties,400.0,7.0,6.0,0.0,0.0,Secondary,1.0
16785,avondale heights,All properties,400.0,2.0,5.0,0.0,0.0,Primary,2.0
16926,kew,1 bedroom flats,350.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16927,kew,1 bedroom flats,350.0,40.0,41.0,0.0,0.0,Primary,3.0
16928,kew,2 bedroom flats,420.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16929,kew,2 bedroom flats,420.0,40.0,41.0,0.0,0.0,Primary,3.0
16930,kew,2 bedroom houses,543.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16931,kew,2 bedroom houses,543.0,40.0,41.0,0.0,0.0,Primary,3.0
16932,kew,3 bedroom flats,590.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16933,kew,3 bedroom flats,590.0,40.0,41.0,0.0,0.0,Primary,3.0
16934,kew,3 bedroom houses,700.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16935,kew,3 bedroom houses,700.0,40.0,41.0,0.0,0.0,Primary,3.0
16936,kew,4 bedroom houses,1000.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16937,kew,4 bedroom houses,1000.0,40.0,41.0,0.0,0.0,Primary,3.0
16938,kew,All properties,495.0,40.0,41.0,0.0,0.0,Pri/Sec,7.0
16939,kew,All properties,495.0,40.0,41.0,0.0,0.0,Primary,3.0
17080,lara,1 bedroom flats,0.0,6.0,7.0,68.0,0.0,Primary,2.0
17081,lara,1 bedroom flats,0.0,6.0,7.0,68.0,0.0,Secondary,1.0
17082,lara,2 bedroom flats,345.0,6.0,7.0,68.0,0.0,Primary,2.0
17083,lara,2 bedroom flats,345.0,6.0,7.0,68.0,0.0,Secondary,1.0
17084,lara,2 bedroom houses,350.0,6.0,7.0,68.0,0.0,Primary,2.0
17085,lara,2 bedroom houses,350.0,6.0,7.0,68.0,0.0,Secondary,1.0
17086,lara,3 bedroom flats,410.0,6.0,7.0,68.0,0.0,Primary,2.0
17087,lara,3 bedroom flats,410.0,6.0,7.0,68.0,0.0,Secondary,1.0
17088,lara,3 bedroom houses,420.0,6.0,7.0,68.0,0.0,Primary,2.0
17089,lara,3 bedroom houses,420.0,6.0,7.0,68.0,0.0,Secondary,1.0
17090,lara,4 bedroom houses,510.0,6.0,7.0,68.0,0.0,Primary,2.0
17091,lara,4 bedroom houses,510.0,6.0,7.0,68.0,0.0,Secondary,1.0
17092,lara,All properties,450.0,6.0,7.0,68.0,0.0,Primary,2.0
17093,lara,All properties,450.0,6.0,7.0,68.0,0.0,Secondary,1.0
17234,malvern,1 bedroom flats,330.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17235,malvern,1 bedroom flats,330.0,15.0,20.0,0.0,2.0,Primary,2.0
17236,malvern,2 bedroom flats,440.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17237,malvern,2 bedroom flats,440.0,15.0,20.0,0.0,2.0,Primary,2.0
17238,malvern,2 bedroom houses,613.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17239,malvern,2 bedroom houses,613.0,15.0,20.0,0.0,2.0,Primary,2.0
17240,malvern,3 bedroom flats,690.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17241,malvern,3 bedroom flats,690.0,15.0,20.0,0.0,2.0,Primary,2.0
17242,malvern,3 bedroom houses,850.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17243,malvern,3 bedroom houses,850.0,15.0,20.0,0.0,2.0,Primary,2.0
17244,malvern,4 bedroom houses,1200.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17245,malvern,4 bedroom houses,1200.0,15.0,20.0,0.0,2.0,Primary,2.0
17246,malvern,All properties,460.0,15.0,20.0,0.0,2.0,Pri/Sec,1.0
17247,malvern,All properties,460.0,15.0,20.0,0.0,2.0,Primary,2.0
17318,malvern east,1 bedroom flats,280.0,13.0,20.0,0.0,3.0,Primary,4.0
17319,malvern east,2 bedroom flats,415.0,13.0,20.0,0.0,3.0,Primary,4.0
17320,malvern east,2 bedroom houses,498.0,13.0,20.0,0.0,3.0,Primary,4.0
17321,malvern east,3 bedroom flats,588.0,13.0,20.0,0.0,3.0,Primary,4.0
17322,malvern east,3 bedroom houses,615.0,13.0,20.0,0.0,3.0,Primary,4.0
17323,malvern east,4 bedroom houses,870.0,13.0,20.0,0.0,3.0,Primary,4.0
17324,malvern east,All properties,400.0,13.0,20.0,0.0,3.0,Primary,4.0
17465,melton,1 bedroom flats,320.0,9.0,13.0,0.0,0.0,Primary,4.0
17466,melton,1 bedroom flats,320.0,9.0,13.0,0.0,0.0,Secondary,3.0
17467,melton,2 bedroom flats,290.0,9.0,13.0,0.0,0.0,Primary,4.0
17468,melton,2 bedroom flats,290.0,9.0,13.0,0.0,0.0,Secondary,3.0
17469,melton,2 bedroom houses,290.0,9.0,13.0,0.0,0.0,Primary,4.0
17470,melton,2 bedroom houses,290.0,9.0,13.0,0.0,0.0,Secondary,3.0
17471,melton,3 bedroom flats,320.0,9.0,13.0,0.0,0.0,Primary,4.0
17472,melton,3 bedroom flats,320.0,9.0,13.0,0.0,0.0,Secondary,3.0
17473,melton,3 bedroom houses,340.0,9.0,13.0,0.0,0.0,Primary,4.0
17474,melton,3 bedroom houses,340.0,9.0,13.0,0.0,0.0,Secondary,3.0
17475,melton,4 bedroom houses,380.0,9.0,13.0,0.0,0.0,Primary,4.0
17476,melton,4 bedroom houses,380.0,9.0,13.0,0.0,0.0,Secondary,3.0
17477,melton,All properties,350.0,9.0,13.0,0.0,0.0,Primary,4.0
17478,melton,All properties,350.0,9.0,13.0,0.0,0.0,Secondary,3.0
17899,mentone,1 bedroom flats,315.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17900,mentone,1 bedroom flats,315.0,14.0,13.0,0.0,1.0,Primary,3.0
17901,mentone,1 bedroom flats,315.0,14.0,13.0,0.0,1.0,Secondary,3.0
17902,parkdale,1 bedroom flats,315.0,5.0,4.0,0.0,1.0,Primary,2.0
17903,mordialloc,1 bedroom flats,315.0,6.0,5.0,0.0,1.0,Primary,2.0
17904,mordialloc,1 bedroom flats,315.0,6.0,5.0,0.0,1.0,Secondary,2.0
17905,mentone,2 bedroom flats,420.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17906,mentone,2 bedroom flats,420.0,14.0,13.0,0.0,1.0,Primary,3.0
17907,mentone,2 bedroom flats,420.0,14.0,13.0,0.0,1.0,Secondary,3.0
17908,parkdale,2 bedroom flats,420.0,5.0,4.0,0.0,1.0,Primary,2.0
17909,mordialloc,2 bedroom flats,420.0,6.0,5.0,0.0,1.0,Primary,2.0
17910,mordialloc,2 bedroom flats,420.0,6.0,5.0,0.0,1.0,Secondary,2.0
17911,mentone,2 bedroom houses,500.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17912,mentone,2 bedroom houses,500.0,14.0,13.0,0.0,1.0,Primary,3.0
17913,mentone,2 bedroom houses,500.0,14.0,13.0,0.0,1.0,Secondary,3.0
17914,parkdale,2 bedroom houses,500.0,5.0,4.0,0.0,1.0,Primary,2.0
17915,mordialloc,2 bedroom houses,500.0,6.0,5.0,0.0,1.0,Primary,2.0
17916,mordialloc,2 bedroom houses,500.0,6.0,5.0,0.0,1.0,Secondary,2.0
17917,mentone,3 bedroom flats,580.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17918,mentone,3 bedroom flats,580.0,14.0,13.0,0.0,1.0,Primary,3.0
17919,mentone,3 bedroom flats,580.0,14.0,13.0,0.0,1.0,Secondary,3.0
17920,parkdale,3 bedroom flats,580.0,5.0,4.0,0.0,1.0,Primary,2.0
17921,mordialloc,3 bedroom flats,580.0,6.0,5.0,0.0,1.0,Primary,2.0
17922,mordialloc,3 bedroom flats,580.0,6.0,5.0,0.0,1.0,Secondary,2.0
17923,mentone,3 bedroom houses,605.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17924,mentone,3 bedroom houses,605.0,14.0,13.0,0.0,1.0,Primary,3.0
17925,mentone,3 bedroom houses,605.0,14.0,13.0,0.0,1.0,Secondary,3.0
17926,parkdale,3 bedroom houses,605.0,5.0,4.0,0.0,1.0,Primary,2.0
17927,mordialloc,3 bedroom houses,605.0,6.0,5.0,0.0,1.0,Primary,2.0
17928,mordialloc,3 bedroom houses,605.0,6.0,5.0,0.0,1.0,Secondary,2.0
17929,mentone,4 bedroom houses,760.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17930,mentone,4 bedroom houses,760.0,14.0,13.0,0.0,1.0,Primary,3.0
17931,mentone,4 bedroom houses,760.0,14.0,13.0,0.0,1.0,Secondary,3.0
17932,parkdale,4 bedroom houses,760.0,5.0,4.0,0.0,1.0,Primary,2.0
17933,mordialloc,4 bedroom houses,760.0,6.0,5.0,0.0,1.0,Primary,2.0
17934,mordialloc,4 bedroom houses,760.0,6.0,5.0,0.0,1.0,Secondary,2.0
17935,mentone,All properties,450.0,14.0,13.0,0.0,1.0,Pri/Sec,2.0
17936,mentone,All properties,450.0,14.0,13.0,0.0,1.0,Primary,3.0
17937,mentone,All properties,450.0,14.0,13.0,0.0,1.0,Secondary,3.0
17938,parkdale,All properties,450.0,5.0,4.0,0.0,1.0,Primary,2.0
17939,mordialloc,All properties,450.0,6.0,5.0,0.0,1.0,Primary,2.0
17940,mordialloc,All properties,450.0,6.0,5.0,0.0,1.0,Secondary,2.0
18151,mildura,1 bedroom flats,220.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18152,mildura,1 bedroom flats,220.0,29.0,37.0,263.0,0.0,Primary,5.0
18153,mildura,1 bedroom flats,220.0,29.0,37.0,263.0,0.0,Secondary,3.0
18154,mildura,2 bedroom flats,260.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18155,mildura,2 bedroom flats,260.0,29.0,37.0,263.0,0.0,Primary,5.0
18156,mildura,2 bedroom flats,260.0,29.0,37.0,263.0,0.0,Secondary,3.0
18157,mildura,2 bedroom houses,300.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18158,mildura,2 bedroom houses,300.0,29.0,37.0,263.0,0.0,Primary,5.0
18159,mildura,2 bedroom houses,300.0,29.0,37.0,263.0,0.0,Secondary,3.0
18160,mildura,3 bedroom flats,340.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18161,mildura,3 bedroom flats,340.0,29.0,37.0,263.0,0.0,Primary,5.0
18162,mildura,3 bedroom flats,340.0,29.0,37.0,263.0,0.0,Secondary,3.0
18163,mildura,3 bedroom houses,360.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18164,mildura,3 bedroom houses,360.0,29.0,37.0,263.0,0.0,Primary,5.0
18165,mildura,3 bedroom houses,360.0,29.0,37.0,263.0,0.0,Secondary,3.0
18166,mildura,4 bedroom houses,420.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18167,mildura,4 bedroom houses,420.0,29.0,37.0,263.0,0.0,Primary,5.0
18168,mildura,4 bedroom houses,420.0,29.0,37.0,263.0,0.0,Secondary,3.0
18169,mildura,All properties,340.0,29.0,37.0,263.0,0.0,Pri/Sec,1.0
18170,mildura,All properties,340.0,29.0,37.0,263.0,0.0,Primary,5.0
18171,mildura,All properties,340.0,29.0,37.0,263.0,0.0,Secondary,3.0
18522,mill park,1 bedroom flats,300.0,10.0,12.0,0.0,0.0,Primary,5.0
18523,mill park,1 bedroom flats,300.0,10.0,12.0,0.0,0.0,Secondary,1.0
18524,epping,1 bedroom flats,300.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18525,epping,1 bedroom flats,300.0,19.0,28.0,0.0,1.0,Primary,5.0
18526,epping,1 bedroom flats,300.0,19.0,28.0,0.0,1.0,Secondary,3.0
18527,mill park,2 bedroom flats,350.0,10.0,12.0,0.0,0.0,Primary,5.0
18528,mill park,2 bedroom flats,350.0,10.0,12.0,0.0,0.0,Secondary,1.0
18529,epping,2 bedroom flats,350.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18530,epping,2 bedroom flats,350.0,19.0,28.0,0.0,1.0,Primary,5.0
18531,epping,2 bedroom flats,350.0,19.0,28.0,0.0,1.0,Secondary,3.0
18532,mill park,2 bedroom houses,350.0,10.0,12.0,0.0,0.0,Primary,5.0
18533,mill park,2 bedroom houses,350.0,10.0,12.0,0.0,0.0,Secondary,1.0
18534,epping,2 bedroom houses,350.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18535,epping,2 bedroom houses,350.0,19.0,28.0,0.0,1.0,Primary,5.0
18536,epping,2 bedroom houses,350.0,19.0,28.0,0.0,1.0,Secondary,3.0
18537,mill park,3 bedroom flats,370.0,10.0,12.0,0.0,0.0,Primary,5.0
18538,mill park,3 bedroom flats,370.0,10.0,12.0,0.0,0.0,Secondary,1.0
18539,epping,3 bedroom flats,370.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18540,epping,3 bedroom flats,370.0,19.0,28.0,0.0,1.0,Primary,5.0
18541,epping,3 bedroom flats,370.0,19.0,28.0,0.0,1.0,Secondary,3.0
18542,mill park,3 bedroom houses,395.0,10.0,12.0,0.0,0.0,Primary,5.0
18543,mill park,3 bedroom houses,395.0,10.0,12.0,0.0,0.0,Secondary,1.0
18544,epping,3 bedroom houses,395.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18545,epping,3 bedroom houses,395.0,19.0,28.0,0.0,1.0,Primary,5.0
18546,epping,3 bedroom houses,395.0,19.0,28.0,0.0,1.0,Secondary,3.0
18547,mill park,4 bedroom houses,450.0,10.0,12.0,0.0,0.0,Primary,5.0
18548,mill park,4 bedroom houses,450.0,10.0,12.0,0.0,0.0,Secondary,1.0
18549,epping,4 bedroom houses,450.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18550,epping,4 bedroom houses,450.0,19.0,28.0,0.0,1.0,Primary,5.0
18551,epping,4 bedroom houses,450.0,19.0,28.0,0.0,1.0,Secondary,3.0
18552,mill park,All properties,390.0,10.0,12.0,0.0,0.0,Primary,5.0
18553,mill park,All properties,390.0,10.0,12.0,0.0,0.0,Secondary,1.0
18554,epping,All properties,390.0,19.0,28.0,0.0,1.0,Pri/Sec,1.0
18555,epping,All properties,390.0,19.0,28.0,0.0,1.0,Primary,5.0
18556,epping,All properties,390.0,19.0,28.0,0.0,1.0,Secondary,3.0
18767,moe,1 bedroom flats,200.0,5.0,12.0,60.0,0.0,Primary,4.0
18768,newborough,1 bedroom flats,200.0,1.0,3.0,52.0,0.0,Primary,3.0
18769,newborough,1 bedroom flats,200.0,1.0,3.0,52.0,0.0,Secondary,1.0
18770,moe,2 bedroom flats,245.0,5.0,12.0,60.0,0.0,Primary,4.0
18771,newborough,2 bedroom flats,245.0,1.0,3.0,52.0,0.0,Primary,3.0
18772,newborough,2 bedroom flats,245.0,1.0,3.0,52.0,0.0,Secondary,1.0
18773,moe,2 bedroom houses,280.0,5.0,12.0,60.0,0.0,Primary,4.0
18774,newborough,2 bedroom houses,280.0,1.0,3.0,52.0,0.0,Primary,3.0
18775,newborough,2 bedroom houses,280.0,1.0,3.0,52.0,0.0,Secondary,1.0
18776,moe,3 bedroom flats,0.0,5.0,12.0,60.0,0.0,Primary,4.0
18777,newborough,3 bedroom flats,0.0,1.0,3.0,52.0,0.0,Primary,3.0
18778,newborough,3 bedroom flats,0.0,1.0,3.0,52.0,0.0,Secondary,1.0
18779,moe,3 bedroom houses,350.0,5.0,12.0,60.0,0.0,Primary,4.0
18780,newborough,3 bedroom houses,350.0,1.0,3.0,52.0,0.0,Primary,3.0
18781,newborough,3 bedroom houses,350.0,1.0,3.0,52.0,0.0,Secondary,1.0
18782,moe,4 bedroom houses,420.0,5.0,12.0,60.0,0.0,Primary,4.0
18783,newborough,4 bedroom houses,420.0,1.0,3.0,52.0,0.0,Primary,3.0
18784,newborough,4 bedroom houses,420.0,1.0,3.0,52.0,0.0,Secondary,1.0
18785,moe,All properties,300.0,5.0,12.0,60.0,0.0,Primary,4.0
18786,newborough,All properties,300.0,1.0,3.0,52.0,0.0,Primary,3.0
18787,newborough,All properties,300.0,1.0,3.0,52.0,0.0,Secondary,1.0
18928,moonee ponds,1 bedroom flats,325.0,5.0,11.0,0.0,1.0,Primary,3.0
18929,ascot vale,1 bedroom flats,325.0,10.0,14.0,0.0,1.0,Primary,3.0
18930,moonee ponds,2 bedroom flats,400.0,5.0,11.0,0.0,1.0,Primary,3.0
18931,ascot vale,2 bedroom flats,400.0,10.0,14.0,0.0,1.0,Primary,3.0
18932,moonee ponds,2 bedroom houses,500.0,5.0,11.0,0.0,1.0,Primary,3.0
18933,ascot vale,2 bedroom houses,500.0,10.0,14.0,0.0,1.0,Primary,3.0
18934,moonee ponds,3 bedroom flats,560.0,5.0,11.0,0.0,1.0,Primary,3.0
18935,ascot vale,3 bedroom flats,560.0,10.0,14.0,0.0,1.0,Primary,3.0
18936,moonee ponds,3 bedroom houses,610.0,5.0,11.0,0.0,1.0,Primary,3.0
18937,ascot vale,3 bedroom houses,610.0,10.0,14.0,0.0,1.0,Primary,3.0
18938,moonee ponds,4 bedroom houses,750.0,5.0,11.0,0.0,1.0,Primary,3.0
18939,ascot vale,4 bedroom houses,750.0,10.0,14.0,0.0,1.0,Primary,3.0
18940,moonee ponds,All properties,420.0,5.0,11.0,0.0,1.0,Primary,3.0
18941,ascot vale,All properties,420.0,10.0,14.0,0.0,1.0,Primary,3.0
19082,morwell,1 bedroom flats,205.0,14.0,24.0,105.0,0.0,Primary,3.0
19083,morwell,1 bedroom flats,205.0,14.0,24.0,105.0,0.0,Secondary,1.0
19084,morwell,2 bedroom flats,240.0,14.0,24.0,105.0,0.0,Primary,3.0
19085,morwell,2 bedroom flats,240.0,14.0,24.0,105.0,0.0,Secondary,1.0
19086,morwell,2 bedroom houses,270.0,14.0,24.0,105.0,0.0,Primary,3.0
19087,morwell,2 bedroom houses,270.0,14.0,24.0,105.0,0.0,Secondary,1.0
19088,morwell,3 bedroom flats,0.0,14.0,24.0,105.0,0.0,Primary,3.0
19089,morwell,3 bedroom flats,0.0,14.0,24.0,105.0,0.0,Secondary,1.0
19090,morwell,3 bedroom houses,310.0,14.0,24.0,105.0,0.0,Primary,3.0
19091,morwell,3 bedroom houses,310.0,14.0,24.0,105.0,0.0,Secondary,1.0
19092,morwell,4 bedroom houses,410.0,14.0,24.0,105.0,0.0,Primary,3.0
19093,morwell,4 bedroom houses,410.0,14.0,24.0,105.0,0.0,Secondary,1.0
19094,morwell,All properties,290.0,14.0,24.0,105.0,0.0,Primary,3.0
19095,morwell,All properties,290.0,14.0,24.0,105.0,0.0,Secondary,1.0
19306,mount clear,1 bedroom flats,0.0,2.0,1.0,14.0,0.0,Primary,2.0
19307,mount clear,1 bedroom flats,0.0,2.0,1.0,14.0,0.0,Secondary,2.0
19308,buninyong,1 bedroom flats,0.0,3.0,3.0,17.0,0.0,Primary,1.0
19309,mount clear,2 bedroom flats,303.0,2.0,1.0,14.0,0.0,Primary,2.0
19310,mount clear,2 bedroom flats,303.0,2.0,1.0,14.0,0.0,Secondary,2.0
19311,buninyong,2 bedroom flats,303.0,3.0,3.0,17.0,0.0,Primary,1.0
19312,mount clear,2 bedroom houses,323.0,2.0,1.0,14.0,0.0,Primary,2.0
19313,mount clear,2 bedroom houses,323.0,2.0,1.0,14.0,0.0,Secondary,2.0
19314,buninyong,2 bedroom houses,323.0,3.0,3.0,17.0,0.0,Primary,1.0
19315,mount clear,3 bedroom flats,335.0,2.0,1.0,14.0,0.0,Primary,2.0
19316,mount clear,3 bedroom flats,335.0,2.0,1.0,14.0,0.0,Secondary,2.0
19317,buninyong,3 bedroom flats,335.0,3.0,3.0,17.0,0.0,Primary,1.0
19318,mount clear,3 bedroom houses,368.0,2.0,1.0,14.0,0.0,Primary,2.0
19319,mount clear,3 bedroom houses,368.0,2.0,1.0,14.0,0.0,Secondary,2.0
19320,buninyong,3 bedroom houses,368.0,3.0,3.0,17.0,0.0,Primary,1.0
19321,mount clear,4 bedroom houses,440.0,2.0,1.0,14.0,0.0,Primary,2.0
19322,mount clear,4 bedroom houses,440.0,2.0,1.0,14.0,0.0,Secondary,2.0
19323,buninyong,4 bedroom houses,440.0,3.0,3.0,17.0,0.0,Primary,1.0
19324,mount clear,All properties,370.0,2.0,1.0,14.0,0.0,Primary,2.0
19325,mount clear,All properties,370.0,2.0,1.0,14.0,0.0,Secondary,2.0
19326,buninyong,All properties,370.0,3.0,3.0,17.0,0.0,Primary,1.0
19467,mount waverley,1 bedroom flats,340.0,23.0,32.0,0.0,2.0,Primary,7.0
